Sentence,Groups,PatternType
did he see the person that dated my sister ?,RO,Y/N-interrogatives
did he see the person that worked with her ?,RO,Y/N-interrogatives
did he see the person that worked with mary ?,RO,Y/N-interrogatives
did he see the person that worked with my sister ?,RO,Y/N-interrogatives
did he see the person that assisted her ?,RO,Y/N-interrogatives
did he see the person that assisted mary ?,RO,Y/N-interrogatives
did he see the person that assisted my sister ?,RO,Y/N-interrogatives
did he see the person that liked her ?,RO,Y/N-interrogatives
did he see the person that liked mary ?,RO,Y/N-interrogatives
did he see the person that liked my sister ?,RO,Y/N-interrogatives
did he see the person who dated her ?,RO,Y/N-interrogatives
did he see the person who dated mary ?,RO,Y/N-interrogatives
did he see the person who dated my sister ?,RO,Y/N-interrogatives
did he see the person who worked with her ?,RO,Y/N-interrogatives
did he see the person who worked with mary ?,RO,Y/N-interrogatives
did he see the person who worked with my sister ?,RO,Y/N-interrogatives
did he see the person who assisted her ?,RO,Y/N-interrogatives
did he see the person who assisted mary ?,RO,Y/N-interrogatives
did he see the person who assisted my sister ?,RO,Y/N-interrogatives
did he see the person who liked her ?,RO,Y/N-interrogatives
did he see the person who liked mary ?,RO,Y/N-interrogatives
did he see the person who liked my sister ?,RO,Y/N-interrogatives
did he spot the person that dated her ?,RO,Y/N-interrogatives
did he spot the person that dated mary ?,RO,Y/N-interrogatives
did he spot the person that dated my sister ?,RO,Y/N-interrogatives
did he spot the person that worked with her ?,RO,Y/N-interrogatives
did he spot the person that worked with mary ?,RO,Y/N-interrogatives
did he spot the person that worked with my sister ?,RO,Y/N-interrogatives
did he spot the person that assisted her ?,RO,Y/N-interrogatives
did he spot the person that assisted mary ?,RO,Y/N-interrogatives
did he spot the person that assisted my sister ?,RO,Y/N-interrogatives
did he spot the person that liked her ?,RO,Y/N-interrogatives
did he spot the person that liked mary ?,RO,Y/N-interrogatives
did he spot the person that liked my sister ?,RO,Y/N-interrogatives
did he spot the person who dated her ?,RO,Y/N-interrogatives
did he spot the person who dated mary ?,RO,Y/N-interrogatives
did he spot the person who dated my sister ?,RO,Y/N-interrogatives
did he spot the person who worked with her ?,RO,Y/N-interrogatives
did he spot the person who worked with mary ?,RO,Y/N-interrogatives
did he spot the person who worked with my sister ?,RO,Y/N-interrogatives
did he spot the person who assisted her ?,RO,Y/N-interrogatives
did he spot the person who assisted mary ?,RO,Y/N-interrogatives
did he spot the person who assisted my sister ?,RO,Y/N-interrogatives
did he spot the person who liked her ?,RO,Y/N-interrogatives
did he spot the person who liked mary ?,RO,Y/N-interrogatives
did he spot the person who liked my sister ?,RO,Y/N-interrogatives
did he meet the person that dated her ?,RO,Y/N-interrogatives
did he meet the person that dated mary ?,RO,Y/N-interrogatives
did he meet the person that dated my sister ?,RO,Y/N-interrogatives
did he meet the person that worked with her ?,RO,Y/N-interrogatives
did he meet the person that worked with mary ?,RO,Y/N-interrogatives
did he meet the person that worked with my sister ?,RO,Y/N-interrogatives
did he meet the person that assisted her ?,RO,Y/N-interrogatives
did he meet the person that assisted mary ?,RO,Y/N-interrogatives
did he meet the person that assisted my sister ?,RO,Y/N-interrogatives
did he meet the person that liked her ?,RO,Y/N-interrogatives
did he meet the person that liked mary ?,RO,Y/N-interrogatives
did he meet the person that liked my sister ?,RO,Y/N-interrogatives
did he meet the person who dated her ?,RO,Y/N-interrogatives
did he meet the person who dated mary ?,RO,Y/N-interrogatives
did he meet the person who dated my sister ?,RO,Y/N-interrogatives
did he meet the person who worked with her ?,RO,Y/N-interrogatives
did he meet the person who worked with mary ?,RO,Y/N-interrogatives
did he meet the person who worked with my sister ?,RO,Y/N-interrogatives
did he meet the person who assisted her ?,RO,Y/N-interrogatives
did he meet the person who assisted mary ?,RO,Y/N-interrogatives
did he meet the person who assisted my sister ?,RO,Y/N-interrogatives
did he meet the person who liked her ?,RO,Y/N-interrogatives
did he meet the person who liked mary ?,RO,Y/N-interrogatives
did he meet the person who liked my sister ?,RO,Y/N-interrogatives
did he hate the person that dated her ?,RO,Y/N-interrogatives
did he hate the person that dated mary ?,RO,Y/N-interrogatives
did he hate the person that dated my sister ?,RO,Y/N-interrogatives
did he hate the person that worked with her ?,RO,Y/N-interrogatives
did he hate the person that worked with mary ?,RO,Y/N-interrogatives
did he hate the person that worked with my sister ?,RO,Y/N-interrogatives
did he hate the person that assisted her ?,RO,Y/N-interrogatives
did he hate the person that assisted mary ?,RO,Y/N-interrogatives
did he hate the person that assisted my sister ?,RO,Y/N-interrogatives
did he hate the person that liked her ?,RO,Y/N-interrogatives
did he hate the person that liked mary ?,RO,Y/N-interrogatives
did he hate the person that liked my sister ?,RO,Y/N-interrogatives
did he hate the person who dated her ?,RO,Y/N-interrogatives
did he hate the person who dated mary ?,RO,Y/N-interrogatives
did he hate the person who dated my sister ?,RO,Y/N-interrogatives
did he hate the person who worked with her ?,RO,Y/N-interrogatives
did he hate the person who worked with mary ?,RO,Y/N-interrogatives
did he hate the person who worked with my sister ?,RO,Y/N-interrogatives
did he hate the person who assisted her ?,RO,Y/N-interrogatives
did he hate the person who assisted mary ?,RO,Y/N-interrogatives
did he hate the person who assisted my sister ?,RO,Y/N-interrogatives
did he hate the person who liked her ?,RO,Y/N-interrogatives
did he hate the person who liked mary ?,RO,Y/N-interrogatives
did he hate the person who liked my sister ?,RO,Y/N-interrogatives
did john see the person that dated her ?,RO,Y/N-interrogatives
did john see the person that dated mary ?,RO,Y/N-interrogatives
did john see the person that dated my sister ?,RO,Y/N-interrogatives
did john see the person that worked with her ?,RO,Y/N-interrogatives
did john see the person that worked with mary ?,RO,Y/N-interrogatives
did john see the person that worked with my sister ?,RO,Y/N-interrogatives
did john see the person that assisted her ?,RO,Y/N-interrogatives
did john see the person that assisted mary ?,RO,Y/N-interrogatives
did john see the person that assisted my sister ?,RO,Y/N-interrogatives
did john see the person that liked her ?,RO,Y/N-interrogatives
did john see the person that liked mary ?,RO,Y/N-interrogatives
did john see the person that liked my sister ?,RO,Y/N-interrogatives
did john see the person who dated her ?,RO,Y/N-interrogatives
did john see the person who dated mary ?,RO,Y/N-interrogatives
did john see the person who dated my sister ?,RO,Y/N-interrogatives
did john see the person who worked with her ?,RO,Y/N-interrogatives
did john see the person who worked with mary ?,RO,Y/N-interrogatives
did john see the person who worked with my sister ?,RO,Y/N-interrogatives
did john see the person who assisted her ?,RO,Y/N-interrogatives
did john see the person who assisted mary ?,RO,Y/N-interrogatives
did john see the person who assisted my sister ?,RO,Y/N-interrogatives
did john see the person who liked her ?,RO,Y/N-interrogatives
did john see the person who liked mary ?,RO,Y/N-interrogatives
did john see the person who liked my sister ?,RO,Y/N-interrogatives
did john spot the person that dated her ?,RO,Y/N-interrogatives
did john spot the person that dated mary ?,RO,Y/N-interrogatives
did john spot the person that dated my sister ?,RO,Y/N-interrogatives
did john spot the person that worked with her ?,RO,Y/N-interrogatives
did john spot the person that worked with mary ?,RO,Y/N-interrogatives
did john spot the person that worked with my sister ?,RO,Y/N-interrogatives
did john spot the person that assisted her ?,RO,Y/N-interrogatives
did john spot the person that assisted mary ?,RO,Y/N-interrogatives
did john spot the person that assisted my sister ?,RO,Y/N-interrogatives
did john spot the person that liked her ?,RO,Y/N-interrogatives
did john spot the person that liked mary ?,RO,Y/N-interrogatives
did john spot the person that liked my sister ?,RO,Y/N-interrogatives
did john spot the person who dated her ?,RO,Y/N-interrogatives
did john spot the person who dated mary ?,RO,Y/N-interrogatives
did john spot the person who dated my sister ?,RO,Y/N-interrogatives
did john spot the person who worked with her ?,RO,Y/N-interrogatives
did john spot the person who worked with mary ?,RO,Y/N-interrogatives
did john spot the person who worked with my sister ?,RO,Y/N-interrogatives
did john spot the person who assisted her ?,RO,Y/N-interrogatives
did john spot the person who assisted mary ?,RO,Y/N-interrogatives
did john spot the person who assisted my sister ?,RO,Y/N-interrogatives
did john spot the person who liked her ?,RO,Y/N-interrogatives
did john spot the person who liked mary ?,RO,Y/N-interrogatives
did john spot the person who liked my sister ?,RO,Y/N-interrogatives
did john meet the person that dated her ?,RO,Y/N-interrogatives
did john meet the person that dated mary ?,RO,Y/N-interrogatives
did john meet the person that dated my sister ?,RO,Y/N-interrogatives
did john meet the person that worked with her ?,RO,Y/N-interrogatives
did john meet the person that worked with mary ?,RO,Y/N-interrogatives
did john meet the person that worked with my sister ?,RO,Y/N-interrogatives
did john meet the person that assisted her ?,RO,Y/N-interrogatives
did john meet the person that assisted mary ?,RO,Y/N-interrogatives
did john meet the person that assisted my sister ?,RO,Y/N-interrogatives
did john meet the person that liked her ?,RO,Y/N-interrogatives
did john meet the person that liked mary ?,RO,Y/N-interrogatives
did john meet the person that liked my sister ?,RO,Y/N-interrogatives
did john meet the person who dated her ?,RO,Y/N-interrogatives
did john meet the person who dated mary ?,RO,Y/N-interrogatives
did john meet the person who dated my sister ?,RO,Y/N-interrogatives
did john meet the person who worked with her ?,RO,Y/N-interrogatives
did john meet the person who worked with mary ?,RO,Y/N-interrogatives
did john meet the person who worked with my sister ?,RO,Y/N-interrogatives
did john meet the person who assisted her ?,RO,Y/N-interrogatives
did john meet the person who assisted mary ?,RO,Y/N-interrogatives
did john meet the person who assisted my sister ?,RO,Y/N-interrogatives
did john meet the person who liked her ?,RO,Y/N-interrogatives
did john meet the person who liked mary ?,RO,Y/N-interrogatives
did john meet the person who liked my sister ?,RO,Y/N-interrogatives
did john hate the person that dated her ?,RO,Y/N-interrogatives
did john hate the person that dated mary ?,RO,Y/N-interrogatives
did john hate the person that dated my sister ?,RO,Y/N-interrogatives
did john hate the person that worked with her ?,RO,Y/N-interrogatives
did john hate the person that worked with mary ?,RO,Y/N-interrogatives
did john hate the person that worked with my sister ?,RO,Y/N-interrogatives
did john hate the person that assisted her ?,RO,Y/N-interrogatives
did john hate the person that assisted mary ?,RO,Y/N-interrogatives
did john hate the person that assisted my sister ?,RO,Y/N-interrogatives
did john hate the person that liked her ?,RO,Y/N-interrogatives
did john hate the person that liked mary ?,RO,Y/N-interrogatives
did john hate the person that liked my sister ?,RO,Y/N-interrogatives
did john hate the person who dated her ?,RO,Y/N-interrogatives
did john hate the person who dated mary ?,RO,Y/N-interrogatives
did john hate the person who dated my sister ?,RO,Y/N-interrogatives
did john hate the person who worked with her ?,RO,Y/N-interrogatives
did john hate the person who worked with mary ?,RO,Y/N-interrogatives
did john hate the person who worked with my sister ?,RO,Y/N-interrogatives
did john hate the person who assisted her ?,RO,Y/N-interrogatives
did john hate the person who assisted mary ?,RO,Y/N-interrogatives
did john hate the person who assisted my sister ?,RO,Y/N-interrogatives
did john hate the person who liked her ?,RO,Y/N-interrogatives
did john hate the person who liked mary ?,RO,Y/N-interrogatives
did john hate the person who liked my sister ?,RO,Y/N-interrogatives
did my friend see the person that dated her ?,RO,Y/N-interrogatives
did my friend see the person that dated mary ?,RO,Y/N-interrogatives
did my friend see the person that dated my sister ?,RO,Y/N-interrogatives
did my friend see the person that worked with her ?,RO,Y/N-interrogatives
did my friend see the person that worked with mary ?,RO,Y/N-interrogatives
did my friend see the person that worked with my sister ?,RO,Y/N-interrogatives
did my friend see the person that assisted her ?,RO,Y/N-interrogatives
did my friend see the person that assisted mary ?,RO,Y/N-interrogatives
did my friend see the person that assisted my sister ?,RO,Y/N-interrogatives
did my friend see the person that liked her ?,RO,Y/N-interrogatives
did my friend see the person that liked mary ?,RO,Y/N-interrogatives
did my friend see the person that liked my sister ?,RO,Y/N-interrogatives
did my friend see the person who dated her ?,RO,Y/N-interrogatives
did my friend see the person who dated mary ?,RO,Y/N-interrogatives
did my friend see the person who dated my sister ?,RO,Y/N-interrogatives
did my friend see the person who worked with her ?,RO,Y/N-interrogatives
did my friend see the person who worked with mary ?,RO,Y/N-interrogatives
did my friend see the person who worked with my sister ?,RO,Y/N-interrogatives
did my friend see the person who assisted her ?,RO,Y/N-interrogatives
did my friend see the person who assisted mary ?,RO,Y/N-interrogatives
did my friend see the person who assisted my sister ?,RO,Y/N-interrogatives
did my friend see the person who liked her ?,RO,Y/N-interrogatives
did my friend see the person who liked mary ?,RO,Y/N-interrogatives
did my friend see the person who liked my sister ?,RO,Y/N-interrogatives
did my friend spot the person that dated her ?,RO,Y/N-interrogatives
did my friend spot the person that dated mary ?,RO,Y/N-interrogatives
did my friend spot the person that dated my sister ?,RO,Y/N-interrogatives
did my friend spot the person that worked with her ?,RO,Y/N-interrogatives
did my friend spot the person that worked with mary ?,RO,Y/N-interrogatives
did my friend spot the person that worked with my sister ?,RO,Y/N-interrogatives
did my friend spot the person that assisted her ?,RO,Y/N-interrogatives
did my friend spot the person that assisted mary ?,RO,Y/N-interrogatives
did my friend spot the person that assisted my sister ?,RO,Y/N-interrogatives
did my friend spot the person that liked her ?,RO,Y/N-interrogatives
did my friend spot the person that liked mary ?,RO,Y/N-interrogatives
did my friend spot the person that liked my sister ?,RO,Y/N-interrogatives
did my friend spot the person who dated her ?,RO,Y/N-interrogatives
did my friend spot the person who dated mary ?,RO,Y/N-interrogatives
did my friend spot the person who dated my sister ?,RO,Y/N-interrogatives
did my friend spot the person who worked with her ?,RO,Y/N-interrogatives
did my friend spot the person who worked with mary ?,RO,Y/N-interrogatives
did my friend spot the person who worked with my sister ?,RO,Y/N-interrogatives
did my friend spot the person who assisted her ?,RO,Y/N-interrogatives
did my friend spot the person who assisted mary ?,RO,Y/N-interrogatives
did my friend spot the person who assisted my sister ?,RO,Y/N-interrogatives
did my friend spot the person who liked her ?,RO,Y/N-interrogatives
did my friend spot the person who liked mary ?,RO,Y/N-interrogatives
did my friend spot the person who liked my sister ?,RO,Y/N-interrogatives
did my friend meet the person that dated her ?,RO,Y/N-interrogatives
did my friend meet the person that dated mary ?,RO,Y/N-interrogatives
did my friend meet the person that dated my sister ?,RO,Y/N-interrogatives
did my friend meet the person that worked with her ?,RO,Y/N-interrogatives
did my friend meet the person that worked with mary ?,RO,Y/N-interrogatives
did my friend meet the person that worked with my sister ?,RO,Y/N-interrogatives
did my friend meet the person that assisted her ?,RO,Y/N-interrogatives
did my friend meet the person that assisted mary ?,RO,Y/N-interrogatives
did my friend meet the person that assisted my sister ?,RO,Y/N-interrogatives
did my friend meet the person that liked her ?,RO,Y/N-interrogatives
did my friend meet the person that liked mary ?,RO,Y/N-interrogatives
did my friend meet the person that liked my sister ?,RO,Y/N-interrogatives
did my friend meet the person who dated her ?,RO,Y/N-interrogatives
did my friend meet the person who dated mary ?,RO,Y/N-interrogatives
did my friend meet the person who dated my sister ?,RO,Y/N-interrogatives
did my friend meet the person who worked with her ?,RO,Y/N-interrogatives
did my friend meet the person who worked with mary ?,RO,Y/N-interrogatives
did my friend meet the person who worked with my sister ?,RO,Y/N-interrogatives
did my friend meet the person who assisted her ?,RO,Y/N-interrogatives
did my friend meet the person who assisted mary ?,RO,Y/N-interrogatives
did my friend meet the person who assisted my sister ?,RO,Y/N-interrogatives
did my friend meet the person who liked her ?,RO,Y/N-interrogatives
did my friend meet the person who liked mary ?,RO,Y/N-interrogatives
did my friend meet the person who liked my sister ?,RO,Y/N-interrogatives
did my friend hate the person that dated her ?,RO,Y/N-interrogatives
did my friend hate the person that dated mary ?,RO,Y/N-interrogatives
did my friend hate the person that dated my sister ?,RO,Y/N-interrogatives
did my friend hate the person that worked with her ?,RO,Y/N-interrogatives
did my friend hate the person that worked with mary ?,RO,Y/N-interrogatives
did my friend hate the person that worked with my sister ?,RO,Y/N-interrogatives
did my friend hate the person that assisted her ?,RO,Y/N-interrogatives
did my friend hate the person that assisted mary ?,RO,Y/N-interrogatives
did my friend hate the person that assisted my sister ?,RO,Y/N-interrogatives
did my friend hate the person that liked her ?,RO,Y/N-interrogatives
did my friend hate the person that liked mary ?,RO,Y/N-interrogatives
did my friend hate the person that liked my sister ?,RO,Y/N-interrogatives
did my friend hate the person who dated her ?,RO,Y/N-interrogatives
did my friend hate the person who dated mary ?,RO,Y/N-interrogatives
did my friend hate the person who dated my sister ?,RO,Y/N-interrogatives
did my friend hate the person who worked with her ?,RO,Y/N-interrogatives
did my friend hate the person who worked with mary ?,RO,Y/N-interrogatives
did my friend hate the person who worked with my sister ?,RO,Y/N-interrogatives
did my friend hate the person who assisted her ?,RO,Y/N-interrogatives
did my friend hate the person who assisted mary ?,RO,Y/N-interrogatives
did my friend hate the person who assisted my sister ?,RO,Y/N-interrogatives
did my friend hate the person who liked her ?,RO,Y/N-interrogatives
did my friend hate the person who liked mary ?,RO,Y/N-interrogatives
did my friend hate the person who liked my sister ?,RO,Y/N-interrogatives
he saw the person that dated her .,RO,Affirmatives
he saw the person that dated mary .,RO,Affirmatives
he saw the person that dated my sister .,RO,Affirmatives
he saw the person that worked with her .,RO,Affirmatives
he saw the person that worked with mary .,RO,Affirmatives
he saw the person that worked with my sister .,RO,Affirmatives
he saw the person that assisted her .,RO,Affirmatives
he saw the person that assisted mary .,RO,Affirmatives
he saw the person that assisted my sister .,RO,Affirmatives
he saw the person that liked her .,RO,Affirmatives
he saw the person that liked mary .,RO,Affirmatives
he saw the person that liked my sister .,RO,Affirmatives
he saw the person who dated her .,RO,Affirmatives
he saw the person who dated mary .,RO,Affirmatives
he saw the person who dated my sister .,RO,Affirmatives
he saw the person who worked with her .,RO,Affirmatives
he saw the person who worked with mary .,RO,Affirmatives
he saw the person who worked with my sister .,RO,Affirmatives
he saw the person who assisted her .,RO,Affirmatives
he saw the person who assisted mary .,RO,Affirmatives
he saw the person who assisted my sister .,RO,Affirmatives
he saw the person who liked her .,RO,Affirmatives
he saw the person who liked mary .,RO,Affirmatives
he saw the person who liked my sister .,RO,Affirmatives
he spotted the person that dated her .,RO,Affirmatives
he spotted the person that dated mary .,RO,Affirmatives
he spotted the person that dated my sister .,RO,Affirmatives
he spotted the person that worked with her .,RO,Affirmatives
he spotted the person that worked with mary .,RO,Affirmatives
he spotted the person that worked with my sister .,RO,Affirmatives
he spotted the person that assisted her .,RO,Affirmatives
he spotted the person that assisted mary .,RO,Affirmatives
he spotted the person that assisted my sister .,RO,Affirmatives
he spotted the person that liked her .,RO,Affirmatives
he spotted the person that liked mary .,RO,Affirmatives
he spotted the person that liked my sister .,RO,Affirmatives
he spotted the person who dated her .,RO,Affirmatives
he spotted the person who dated mary .,RO,Affirmatives
he spotted the person who dated my sister .,RO,Affirmatives
he spotted the person who worked with her .,RO,Affirmatives
he spotted the person who worked with mary .,RO,Affirmatives
he spotted the person who worked with my sister .,RO,Affirmatives
he spotted the person who assisted her .,RO,Affirmatives
he spotted the person who assisted mary .,RO,Affirmatives
he spotted the person who assisted my sister .,RO,Affirmatives
he spotted the person who liked her .,RO,Affirmatives
he spotted the person who liked mary .,RO,Affirmatives
he spotted the person who liked my sister .,RO,Affirmatives
he met the person that dated her .,RO,Affirmatives
he met the person that dated mary .,RO,Affirmatives
he met the person that dated my sister .,RO,Affirmatives
he met the person that worked with her .,RO,Affirmatives
he met the person that worked with mary .,RO,Affirmatives
he met the person that worked with my sister .,RO,Affirmatives
he met the person that assisted her .,RO,Affirmatives
he met the person that assisted mary .,RO,Affirmatives
he met the person that assisted my sister .,RO,Affirmatives
he met the person that liked her .,RO,Affirmatives
he met the person that liked mary .,RO,Affirmatives
he met the person that liked my sister .,RO,Affirmatives
he met the person who dated her .,RO,Affirmatives
he met the person who dated mary .,RO,Affirmatives
he met the person who dated my sister .,RO,Affirmatives
he met the person who worked with her .,RO,Affirmatives
he met the person who worked with mary .,RO,Affirmatives
he met the person who worked with my sister .,RO,Affirmatives
he met the person who assisted her .,RO,Affirmatives
he met the person who assisted mary .,RO,Affirmatives
he met the person who assisted my sister .,RO,Affirmatives
he met the person who liked her .,RO,Affirmatives
he met the person who liked mary .,RO,Affirmatives
he met the person who liked my sister .,RO,Affirmatives
he hated the person that dated her .,RO,Affirmatives
he hated the person that dated mary .,RO,Affirmatives
he hated the person that dated my sister .,RO,Affirmatives
he hated the person that worked with her .,RO,Affirmatives
he hated the person that worked with mary .,RO,Affirmatives
he hated the person that worked with my sister .,RO,Affirmatives
he hated the person that assisted her .,RO,Affirmatives
he hated the person that assisted mary .,RO,Affirmatives
he hated the person that assisted my sister .,RO,Affirmatives
he hated the person that liked her .,RO,Affirmatives
he hated the person that liked mary .,RO,Affirmatives
he hated the person that liked my sister .,RO,Affirmatives
he hated the person who dated her .,RO,Affirmatives
he hated the person who dated mary .,RO,Affirmatives
he hated the person who dated my sister .,RO,Affirmatives
he hated the person who worked with her .,RO,Affirmatives
he hated the person who worked with mary .,RO,Affirmatives
he hated the person who worked with my sister .,RO,Affirmatives
he hated the person who assisted her .,RO,Affirmatives
he hated the person who assisted mary .,RO,Affirmatives
he hated the person who assisted my sister .,RO,Affirmatives
he hated the person who liked her .,RO,Affirmatives
he hated the person who liked mary .,RO,Affirmatives
he hated the person who liked my sister .,RO,Affirmatives
john saw the person that dated her .,RO,Affirmatives
john saw the person that dated mary .,RO,Affirmatives
john saw the person that dated my sister .,RO,Affirmatives
john saw the person that worked with her .,RO,Affirmatives
john saw the person that worked with mary .,RO,Affirmatives
john saw the person that worked with my sister .,RO,Affirmatives
john saw the person that assisted her .,RO,Affirmatives
john saw the person that assisted mary .,RO,Affirmatives
john saw the person that assisted my sister .,RO,Affirmatives
john saw the person that liked her .,RO,Affirmatives
john saw the person that liked mary .,RO,Affirmatives
john saw the person that liked my sister .,RO,Affirmatives
john saw the person who dated her .,RO,Affirmatives
john saw the person who dated mary .,RO,Affirmatives
john saw the person who dated my sister .,RO,Affirmatives
john saw the person who worked with her .,RO,Affirmatives
john saw the person who worked with mary .,RO,Affirmatives
john saw the person who worked with my sister .,RO,Affirmatives
john saw the person who assisted her .,RO,Affirmatives
john saw the person who assisted mary .,RO,Affirmatives
john saw the person who assisted my sister .,RO,Affirmatives
john saw the person who liked her .,RO,Affirmatives
john saw the person who liked mary .,RO,Affirmatives
john saw the person who liked my sister .,RO,Affirmatives
john spotted the person that dated her .,RO,Affirmatives
john spotted the person that dated mary .,RO,Affirmatives
john spotted the person that dated my sister .,RO,Affirmatives
john spotted the person that worked with her .,RO,Affirmatives
john spotted the person that worked with mary .,RO,Affirmatives
john spotted the person that worked with my sister .,RO,Affirmatives
john spotted the person that assisted her .,RO,Affirmatives
john spotted the person that assisted mary .,RO,Affirmatives
john spotted the person that assisted my sister .,RO,Affirmatives
john spotted the person that liked her .,RO,Affirmatives
john spotted the person that liked mary .,RO,Affirmatives
john spotted the person that liked my sister .,RO,Affirmatives
john spotted the person who dated her .,RO,Affirmatives
john spotted the person who dated mary .,RO,Affirmatives
john spotted the person who dated my sister .,RO,Affirmatives
john spotted the person who worked with her .,RO,Affirmatives
john spotted the person who worked with mary .,RO,Affirmatives
john spotted the person who worked with my sister .,RO,Affirmatives
john spotted the person who assisted her .,RO,Affirmatives
john spotted the person who assisted mary .,RO,Affirmatives
john spotted the person who assisted my sister .,RO,Affirmatives
john spotted the person who liked her .,RO,Affirmatives
john spotted the person who liked mary .,RO,Affirmatives
john spotted the person who liked my sister .,RO,Affirmatives
john met the person that dated her .,RO,Affirmatives
john met the person that dated mary .,RO,Affirmatives
john met the person that dated my sister .,RO,Affirmatives
john met the person that worked with her .,RO,Affirmatives
john met the person that worked with mary .,RO,Affirmatives
john met the person that worked with my sister .,RO,Affirmatives
john met the person that assisted her .,RO,Affirmatives
john met the person that assisted mary .,RO,Affirmatives
john met the person that assisted my sister .,RO,Affirmatives
john met the person that liked her .,RO,Affirmatives
john met the person that liked mary .,RO,Affirmatives
john met the person that liked my sister .,RO,Affirmatives
john met the person who dated her .,RO,Affirmatives
john met the person who dated mary .,RO,Affirmatives
john met the person who dated my sister .,RO,Affirmatives
john met the person who worked with her .,RO,Affirmatives
john met the person who worked with mary .,RO,Affirmatives
john met the person who worked with my sister .,RO,Affirmatives
john met the person who assisted her .,RO,Affirmatives
john met the person who assisted mary .,RO,Affirmatives
john met the person who assisted my sister .,RO,Affirmatives
john met the person who liked her .,RO,Affirmatives
john met the person who liked mary .,RO,Affirmatives
john met the person who liked my sister .,RO,Affirmatives
john hated the person that dated her .,RO,Affirmatives
john hated the person that dated mary .,RO,Affirmatives
john hated the person that dated my sister .,RO,Affirmatives
john hated the person that worked with her .,RO,Affirmatives
john hated the person that worked with mary .,RO,Affirmatives
john hated the person that worked with my sister .,RO,Affirmatives
john hated the person that assisted her .,RO,Affirmatives
john hated the person that assisted mary .,RO,Affirmatives
john hated the person that assisted my sister .,RO,Affirmatives
john hated the person that liked her .,RO,Affirmatives
john hated the person that liked mary .,RO,Affirmatives
john hated the person that liked my sister .,RO,Affirmatives
john hated the person who dated her .,RO,Affirmatives
john hated the person who dated mary .,RO,Affirmatives
john hated the person who dated my sister .,RO,Affirmatives
john hated the person who worked with her .,RO,Affirmatives
john hated the person who worked with mary .,RO,Affirmatives
john hated the person who worked with my sister .,RO,Affirmatives
john hated the person who assisted her .,RO,Affirmatives
john hated the person who assisted mary .,RO,Affirmatives
john hated the person who assisted my sister .,RO,Affirmatives
john hated the person who liked her .,RO,Affirmatives
john hated the person who liked mary .,RO,Affirmatives
john hated the person who liked my sister .,RO,Affirmatives
my friend saw the person that dated her .,RO,Affirmatives
my friend saw the person that dated mary .,RO,Affirmatives
my friend saw the person that dated my sister .,RO,Affirmatives
my friend saw the person that worked with her .,RO,Affirmatives
my friend saw the person that worked with mary .,RO,Affirmatives
my friend saw the person that worked with my sister .,RO,Affirmatives
my friend saw the person that assisted her .,RO,Affirmatives
my friend saw the person that assisted mary .,RO,Affirmatives
my friend saw the person that assisted my sister .,RO,Affirmatives
my friend saw the person that liked her .,RO,Affirmatives
my friend saw the person that liked mary .,RO,Affirmatives
my friend saw the person that liked my sister .,RO,Affirmatives
my friend saw the person who dated her .,RO,Affirmatives
my friend saw the person who dated mary .,RO,Affirmatives
my friend saw the person who dated my sister .,RO,Affirmatives
my friend saw the person who worked with her .,RO,Affirmatives
my friend saw the person who worked with mary .,RO,Affirmatives
my friend saw the person who worked with my sister .,RO,Affirmatives
my friend saw the person who assisted her .,RO,Affirmatives
my friend saw the person who assisted mary .,RO,Affirmatives
my friend saw the person who assisted my sister .,RO,Affirmatives
my friend saw the person who liked her .,RO,Affirmatives
my friend saw the person who liked mary .,RO,Affirmatives
my friend saw the person who liked my sister .,RO,Affirmatives
my friend spotted the person that dated her .,RO,Affirmatives
my friend spotted the person that dated mary .,RO,Affirmatives
my friend spotted the person that dated my sister .,RO,Affirmatives
my friend spotted the person that worked with her .,RO,Affirmatives
my friend spotted the person that worked with mary .,RO,Affirmatives
my friend spotted the person that worked with my sister .,RO,Affirmatives
my friend spotted the person that assisted her .,RO,Affirmatives
my friend spotted the person that assisted mary .,RO,Affirmatives
my friend spotted the person that assisted my sister .,RO,Affirmatives
my friend spotted the person that liked her .,RO,Affirmatives
my friend spotted the person that liked mary .,RO,Affirmatives
my friend spotted the person that liked my sister .,RO,Affirmatives
my friend spotted the person who dated her .,RO,Affirmatives
my friend spotted the person who dated mary .,RO,Affirmatives
my friend spotted the person who dated my sister .,RO,Affirmatives
my friend spotted the person who worked with her .,RO,Affirmatives
my friend spotted the person who worked with mary .,RO,Affirmatives
my friend spotted the person who worked with my sister .,RO,Affirmatives
my friend spotted the person who assisted her .,RO,Affirmatives
my friend spotted the person who assisted mary .,RO,Affirmatives
my friend spotted the person who assisted my sister .,RO,Affirmatives
my friend spotted the person who liked her .,RO,Affirmatives
my friend spotted the person who liked mary .,RO,Affirmatives
my friend spotted the person who liked my sister .,RO,Affirmatives
my friend met the person that dated her .,RO,Affirmatives
my friend met the person that dated mary .,RO,Affirmatives
my friend met the person that dated my sister .,RO,Affirmatives
my friend met the person that worked with her .,RO,Affirmatives
my friend met the person that worked with mary .,RO,Affirmatives
my friend met the person that worked with my sister .,RO,Affirmatives
my friend met the person that assisted her .,RO,Affirmatives
my friend met the person that assisted mary .,RO,Affirmatives
